일자,요일,도로명,링크아이디,검지기아이디,지점명,방향,시점명,종점명,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2021-01-01,금,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,87,57,53,21,16,10,26,45,91,106,164,205,266,364,387,435,473,453,408,367,284,200,138,111
2021-01-02,토,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,69,26,23,14,7,9,27,55,107,144,263,378,418,489,514,579,522,546,518,427,303,249,205,91
2021-01-03,일,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,63,43,29,11,10,12,13,44,70,93,193,284,378,367,418,497,497,458,416,330,280,209,144,80
2021-01-04,월,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,50,34,22,12,18,26,74,224,506,654,401,296,358,391,395,424,410,455,592,534,423,288,187,113
2021-01-05,화,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,76,35,16,10,12,24,63,181,488,663,394,340,383,447,427,435,421,469,534,610,458,335,253,121
2021-01-06,수,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,74,43,24,10,12,25,52,171,474,669,414,338,351,431,430,402,424,437,572,513,309,115,111,96
2021-01-07,목,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,1,3,7,4,5,21,72,139,393,509,363,243,244,295,296,352,346,373,449,482,325,206,192,94
2021-01-08,금,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,48,36,18,14,8,17,69,154,429,616,377,322,414,425,438,411,484,508,568,623,450,288,246,124
2021-01-09,토,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,67,30,24,23,10,16,26,57,114,185,321,428,558,563,642,624,600,548,519,526,393,320,268,101
2021-01-10,일,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,79,42,23,17,13,12,17,34,59,88,174,285,376,418,459,464,466,419,359,351,315,245,175,115
2021-01-11,월,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,88,28,31,11,14,22,77,225,531,673,414,373,393,438,444,432,437,494,522,638,456,343,298,115
2021-01-12,화,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,66,49,24,16,17,13,78,149,441,614,430,383,408,646,432,510,235,379,426,456,295,175,172,75
2021-01-13,수,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,61,29,27,12,11,18,59,167,449,605,422,362,373,378,398,429,479,485,585,630,427,340,274,133
2021-01-14,목,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,68,39,25,20,13,24,68,180,498,662,438,393,413,457,492,456,449,475,524,599,410,305,272,144
2021-01-15,금,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,76,36,31,8,13,15,53,196,494,659,424,369,418,454,453,434,482,583,645,632,500,324,268,134
2021-01-16,토,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,90,58,32,22,11,19,26,78,146,227,334,485,527,595,612,645,637,585,488,487,350,238,200,96
2021-01-17,일,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,77,31,34,13,19,12,17,44,67,105,194,237,323,479,477,525,375,412,258,263,206,187,90,43
2021-01-18,월,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,55,33,22,10,11,14,60,187,452,587,394,382,367,378,388,465,420,441,542,596,413,330,290,94
2021-01-19,화,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,75,32,16,6,16,13,56,174,471,721,476,338,397,402,434,417,490,515,533,603,438,306,366,129
2021-01-20,수,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,63,42,25,11,15,22,58,171,462,688,462,433,445,429,496,458,542,506,550,598,439,307,344,93
2021-01-21,목,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,62,38,26,18,18,26,57,188,502,755,507,445,413,461,433,447,543,520,595,618,409,326,390,120
2021-01-22,금,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,63,38,16,5,13,20,63,161,471,702,467,413,436,490,550,491,485,609,667,684,460,389,351,129
2021-01-23,토,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,88,51,38,16,10,19,32,65,155,252,344,496,634,665,678,653,654,598,610,487,438,333,272,129
2021-01-24,일,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,75,43,38,9,10,12,17,48,80,96,217,293,328,351,457,330,341,551,484,440,308,233,232,103
2021-01-25,월,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,70,23,16,15,13,26,74,205,488,694,455,424,394,444,464,423,507,467,569,618,440,331,348,123
2021-01-26,화,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,69,38,17,19,16,13,62,169,492,698,542,428,433,420,452,492,475,457,579,573,418,342,347,119
2021-01-27,수,테크노파크로,1640137900,SDTRVCT00100001,한국생산기술연구원 맞은편,상행,한국생산기술연구원앞,미추홀타워입구,72,40,20,11,21,19,56,183,458,769,478,413,474,476,462,480,500,589,641,644,418,355,390,98
